OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng,Shape_Le_1,Shape_Area
116,116,0.001587,0.219457,11,17.112,116,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",22844.84962,0.216930948,0.001582071
117,117,0.001083,0.260654,16,11.686,117,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",27345.83893,0.259368789,0.001085559
118,118,0.002706,0.377763,8,29.183,118,95,1943,26.6,222,8,TH,SC2,RGd,SC2,"Sandstone, greywacke, arkose",37600.29445,0.375064187,0.002714819
119,119,0.003533,1.434087,4,38.114,119,75,982,2.2,25,4,LV,UF1,CMg,UF1,"Fluvial, calcareous",145315.9169,1.421670631,0.003523251
120,120,0.00237,0.558732,16,25.572,120,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",56772.27117,0.555156509,0.002380117
121,121,0.002317,0.330466,16,24.993,121,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",33661.86038,0.328190089,0.002314372
122,122,0.000977,0.315669,16,10.54,122,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",32358.89618,0.310564061,0.000967978
123,123,0.178255,5.800822,8,1926.614,123,95,1943,26.6,222,8,TH,SC2,RGd,SC2,"Sandstone, greywacke, arkose",593848.793,5.71642999,0.178237726
124,124,0.00154,0.512147,11,16.618,124,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",52282.12358,0.502665655,0.001555532
125,125,0.00167,0.323271,16,18.018,125,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",33294.36048,0.320260374,0.001676776
126,126,0.000952,0.291823,5,10.264,126,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",29080.27895,0.289750264,0.000950552
127,127,0.005041,0.615288,16,54.403,127,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",63029.84351,0.61037067,0.005030398
128,128,0.055066,3.537798,3,595.208,128,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,366575.2738,3.470966817,0.055097433
129,129,0.00112,0.278368,7,12.082,129,262,1956,31.8,296,7,SH,SC2,CMo,SC2,"Sandstone, greywacke, arkose",28727.29126,0.273309407,0.001117261
130,130,0.003958,0.678344,17,42.727,130,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",69580.99909,0.670578417,0.003952626
131,131,0.001133,0.289083,11,12.227,131,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",29256.08991,0.28490468,0.001127499
132,132,0.001882,0.331571,17,20.31,132,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",34150.89599,0.326933236,0.001877232
133,133,0.001457,0.435269,11,15.729,133,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",44186.94246,0.425510424,0.001455038
134,134,0.003388,0.83806,11,36.57,134,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",84890.97252,0.824505355,0.003379688
135,135,0.001745,0.443922,11,18.836,135,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",45701.87803,0.435060578,0.001744111
136,136,0.003311,0.562121,16,35.755,136,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",57705.01493,0.556019192,0.003318417
137,137,0.003557,0.471216,16,38.417,137,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",48274.19482,0.466454664,0.003567122
138,138,0.001463,0.352391,7,15.798,138,262,1956,31.8,296,7,SH,SC2,CMo,SC2,"Sandstone, greywacke, arkose",36047.01839,0.346342358,0.001455551
139,139,0.007535,1.349419,15,81.402,139,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",139615.9644,1.333445595,0.007532369
140,140,0.002198,0.470025,11,23.737,140,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",48005.54587,0.462578675,0.002190176
141,141,0.027283,2.61203,2,295.292,141,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,271667.3573,2.57514912,0.027299384
142,142,0.005074,1.147849,16,54.826,142,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",117056.3212,1.132634312,0.005077755
143,143,0.001207,0.32595,7,13.036,143,262,1956,31.8,296,7,SH,SC2,CMo,SC2,"Sandstone, greywacke, arkose",32708.15973,0.320865465,0.001207837
144,144,0.00109,0.28925,11,11.766,144,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",28859.23929,0.28477735,0.001092657
145,145,0.037577,5.006257,15,406.367,145,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",512889.8787,4.942274981,0.037536141
146,146,0.002481,1.684229,9,26.826,146,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,174092.8564,1.659067285,0.002458713
147,147,0.001993,0.404902,2,21.531,147,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,41652.84348,0.396114023,0.001996156
148,148,0.001236,0.264225,11,13.356,148,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",26448.3118,0.259885053,0.001234919
149,149,0.003767,0.550053,1,40.729,149,57,952,1.1,11,1,LV,UF1,FLc,UF1,"Fluvial, calcareous",58063.27226,0.544947643,0.003763707
150,150,0.004932,0.38136,2,53.317,150,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,40840.02237,0.378322865,0.004928783
151,151,0.000928,0.320884,7,10.026,151,262,1956,31.8,296,7,SH,SC2,CMo,SC2,"Sandstone, greywacke, arkose",32869.70133,0.314607141,0.000921298
152,152,0.003912,1.662875,1,42.306,152,57,952,1.1,11,1,LV,UF1,FLc,UF1,"Fluvial, calcareous",171232.9735,1.626917508,0.003905201
